Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
9/25/2017,29.559999,6827300,0.151,-0.0041,0.00814,0.00402,
9/26/2017,29.940001,3918600,0.151,-0.0043,0.0126,0.00401,
9/27/2017,30.940001,11194700,0.151,0.00762,0.02185,0.004,
9/28/2017,31.190001,7666600,0.151,0.00074,0.00468,0.00399,
9/29/2017,31.049999,5255600,0.151,0.01659,0.00186,0.00398,
10/2/2017,31.48,4478600,0.151,0.0058,0.01055,0.00396,
10/3/2017,31.719999,5916600,0.151,0.00198,0.0089,0.00395,
10/4/2017,31.309999,4750400,0.151,-0.0112,-0.0038,0.00395,
10/5/2017,31.66,4838900,0.151,0.00782,0.00733,0.00393,
10/6/2017,31.309999,4695000,0.151,0.00343,-0.0033,0.00393,
10/9/2017,31.440001,2616800,0.151,-0.0079,-0.0056,0.00394,
10/10/2017,31.75,4867300,0.151,0.00852,-0.0006,0.00393,
10/11/2017,31.42,3444200,0.151,0.0009,-0.0077,0.00392,
10/12/2017,30.639999,6771800,0.151,-0.0081,-0.0159,0.00393,
10/13/2017,30.82,7889900,0.151,-0.0275,0.0011,0.00392,
10/16/2017,31.5,10557400,0.151,0.00205,0.02301,0.00392,
10/17/2017,30.98,4723600,0.151,-0.0113,-0.0106,0.00391,
10/18/2017,31.51,6903800,0.151,0.00414,0.01129,0.00391,
10/19/2017,31.709999,7787700,0.151,0.00637,0.00413,0.00391,
10/20/2017,33.040001,15400900,0.151,0.02177,0.01386,0.00389,
10/23/2017,32.68,6188200,0.151,-0.0002,0.00406,0.0039,
10/24/2017,32.650002,4908900,0.151,0.00929,0.00823,0.0039,
10/25/2017,32.380001,8934100,0.151,-0.0031,-0.0332,0.00392,
10/26/2017,32.869999,5219800,0.151,0.0067,0.02364,0.00391,
10/27/2017,32.939999,4059300,0.151,0.00449,0.00135,0.00388,
10/30/2017,32.599998,3998100,0.151,-0.0004,-0.004,0.00389,
10/31/2017,32.619999,4589300,0.151,0.00519,0.0003,0.00389,
11/1/2017,32.830002,2934100,0.151,0.00125,0.00556,0.00388,
11/2/2017,33.220001,6214600,0.151,0.0048,0.00045,0.00388,
11/3/2017,33.110001,4242500,0.151,-0.0023,0.00762,0.00387,
11/6/2017,32.77,4144800,0.151,-0.003,-0.0062,0.00386,
11/7/2017,32.360001,4561500,0.151,-0.0201,-0.0087,0.00387,
11/8/2017,32.07,4130100,0.151,-0.0144,-0.0053,0.00386,
11/9/2017,32.09,4140300,0.151,-0.0048,-0.0094,0.00387,
11/10/2017,32.07,2669700,0.151,-0.0035,-0.0108,0.00387,
11/13/2017,32.59,5185300,0.151,-0.0017,0.00371,0.00387,
11/14/2017,32.560001,3936400,0.151,0.00596,-0.0122,0.00388,
11/15/2017,32.529999,6556700,0.151,-0.0054,0.01651,0.0039,
11/16/2017,33.380001,11362700,0.151,0.01581,-0.0069,0.00387,
11/17/2017,33.860001,8665800,0.151,-0.0082,0.0037,0.00388,
11/20/2017,33.860001,8232800,0.151,-0.0018,0.01168,0.00387,
11/21/2017,33.77,6838200,0.151,0.0087,-0.0027,0.00385,
11/22/2017,33.669998,4177300,0.151,-0.0084,-0.0021,0.00385,
11/24/2017,33.490002,2372300,0.151,0.00055,-0.0015,0.00384,
11/27/2017,33.209999,6196300,0.151,-0.0026,-0.0009,0.00384,
11/28/2017,34.490002,8612100,0.151,0.03003,0.03505,0.0038,
11/29/2017,35.349998,11568600,0.151,0.01997,0.02041,0.00381,
11/30/2017,35.889999,12016600,0.151,-0.0037,0.02304,0.00377,
